sample_id,condition,mspecies,site,loc,house,feed
1047-OV,positive,An. funestus,Fihoni,out,four,UF
1082-OV,positive,An. funestus,Fihoni,out,one,UF
1202-OV,positive,An. gambiae,Fihoni,out,five,UF
1279-OV,positive,An. gambiae,Fihoni,in,eight,UF
1330-OV,positive,An. Coustani,Fihoni,out,nine,UF
464-OV,positive,An. gambiae,Jego,in,six,UF
481-OV,positive,An. gambiae,Jego,out,ten,UF
579-OV,positive,An. gambiae,Jego,in,five,UF
581-OV,positive,An. gambiae,Jego,out,one,BF
599-OV,positive,An. gambiae,Jego,in,five,UF
640-OV,positive,An. gambiae,Jego,in,two,UF
644A-OV,positive,An. gambiae,Jego,in,one,G
645-OV,positive,An. funestus,Jego,out,nine,UF
713-OV,positive,An. funestus,Jego,out,two,UF
726-OV,positive,An. gambiae,Jego,out,two,UF
728-OV,positive,An. gambiae,Jego,out,two,UF
730-OV,positive,An. gambiae,Jego,out,two,UF
731-OV,positive,An. gambiae,Jego,out,two,UF
732-OV,positive,An. gambiae,Jego,out,two,UF
733-OV,positive,An. gambiae,Jego,out,two,UF
739-OV,positive,An. gambiae,Jego,out,two,UF
740-OV,positive,An. gambiae,Jego,out,two,UF
788-OV,positive,An. funestus,Jego,in,three,UF
936-OV,positive,An. gambiae,Fihoni,in,four,UF
1210-OV,negative,An. funestus,Fihoni,out,six,UF
1211-OV,negative,An. Coustani,Fihoni,out,five,BF
1212-OV,negative,An. Coustani,Fihoni,out,five,UF
1213-OV,negative,An. Coustani,Fihoni,out,five,UF
1214-OV,negative,An. Coustani,Fihoni,out,five,UF
1215-OV,negative,An. gambiae,Fihoni,in,two,UF
1216-OV,negative,An. gambiae,Fihoni,out,six,UF
1217-OV,negative,An. funestus,Fihoni,in,eight,BF
551-OV,negative,An. funestus,Jego,out,three,UF
552-OV,negative,An. funestus,Jego,out,three,UF
553-OV,negative,An. funestus,Jego,out,three,UF
554-OV,negative,An. funestus,Jego,out,three,UF
555-OV,negative,An. gambiae,Jego,in,four,UF
556-OV,negative,An. gambiae,Jego,in,four,UF
557-OV,negative,An. gambiae,Jego,in,four,UF
900-OV,negative,An. gambiae,Jego,in,five,UF
901-OV,negative,An. gambiae,Jego,in,five,UF
902-OV,negative,An. gambiae,Jego,in,five,UF
903-OV,negative,An. gambiae,Jego,in,five,UF
904-OV,negative,An. gambiae,Jego,in,five,UF
905-OV,negative,An. gambiae,Jego,in,five,UF
906-OV,negative,An. gambiae,Jego,in,five,UF
907-OV,negative,An. funestus,Jego,out,two,UF
