sample_id,count,group
1047-OV,21916,ovpos
1082-OV,3158,ovpos
1202-OV,9944,ovpos
1279-OV,8822,ovpos
1330-OV,3271,ovpos
464-OV,3664,ovpos
481-OV,212,ovpos
482-OV,10804,ovpos
579-OV,2010,ovpos
581-OV,13533,ovpos
599-OV,6040,ovpos
640-OV,11841,ovpos
644A-OV,3680,ovpos
645-OV,22711,ovpos
713-OV,5327,ovpos
726-OV,16065,ovpos
728-OV,3803,ovpos
730-OV,6,ovpos
731-OV,4474,ovpos
732-OV,3970,ovpos
733-OV,12760,ovpos
739-OV,8048,ovpos
740-OV,12702,ovpos
788-OV,4200,ovpos
936-OV,5294,ovpos
1210-OV,5046,ovneg
1211-OV,153,ovneg
1212-OV,1704,ovneg
1213-OV,17336,ovneg
1214-OV,9362,ovneg
1215-OV,7529,ovneg
1216-OV,7413,ovneg
1217-OV,1825,ovneg
551-OV,5277,ovneg
552-OV,2513,ovneg
553-OV,25771,ovneg
554-OV,2761,ovneg
555-OV,9187,ovneg
556-OV,2457,ovneg
557-OV,4014,ovneg
900-OV,5545,ovneg
901-OV,1736,ovneg
902-OV,11100,ovneg
903-OV,7917,ovneg
904-OV,13853,ovneg
905-OV,6600,ovneg
906-OV,8445,ovneg
907-OV,27,ovneg
1062-MG,27109,mgpos
1082-MG,10633,mgpos
1202-MG,2329,mgpos
1313-MG,24,mgpos
481-MG,25,mgpos
581-MG,8073,mgpos
640-MG,3299,mgpos
644A-MG,4008,mgpos
713-MG,5396,mgpos
726-MG,344,mgpos
728-MG,6740,mgpos
729-MG,4222,mgpos
730-MG,4302,mgpos
731-MG,57,mgpos
734-MG,10360,mgpos
741-MG,6181,mgpos
769-MG,3340,mgpos
778-MG,5,mgpos
781-MG,8336,mgpos
809-MG,9991,mgpos
816-MG,4707,mgpos
817-MG,27776,mgpos
936-MG,20564,mgpos
1210-MG,9288,mgneg
1211-MG,11048,mgneg
1212-MG,2113,mgneg
1213-MG,5306,mgneg
1214-MG,20593,mgneg
1215-MG,10111,mgneg
1216-MG,3980,mgneg
1217-MG,2670,mgneg
551-MG,3181,mgneg
552-MG,2562,mgneg
553-MG,2388,mgneg
554-MG,67336,mgneg
555-MG,7822,mgneg
556-MG,1991,mgneg
557-MG,1799,mgneg
900-MG,7900,mgneg
901-MG,6,mgneg
902-MG,11,mgneg
903-MG,8211,mgneg
904-MG,127951,mgneg
905-MG,1989,mgneg
906-MG,2728,mgneg
907-MG,435,mgneg
